Name,English only,Spanish,French,Yaddish,French Creole,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state
Maryland,4483607.0,344255.0,48901.0,1399.0,10241.0,11711.0,9811.0,21126.0,10142.0,19264.0,5360.0,1512.0,1451.0,11983.0,9524.0,16506.0,12665.0,57039.0,7013.0,39869.0,2456.0,0.0,4035.0,909.0,19355.0,27619.0,27.0,1925.0,12629.0,6365.0,24
Massachusetts,4823127.0,457990.0,70607.0,948.0,53724.0,43184.0,180975.0,17292.0,24700.0,36252.0,21812.0,3863.0,6762.0,6051.0,7937.0,15748.0,5378.0,98735.0,9206.0,15175.0,23023.0,318.0,3228.0,2745.0,35306.0,8810.0,54.0,1896.0,23620.0,6842.0,25
Michigan,8507947.0,274586.0,27451.0,1002.0,1072.0,20227.0,3440.0,42366.0,8711.0,11606.0,26966.0,13150.0,3049.0,2907.0,8809.0,14408.0,11244.0,37528.0,14061.0,15460.0,1576.0,5312.0,1548.0,2893.0,15009.0,14516.0,75.0,2985.0,96596.0,2388.0,26
Minnesota,4386970.0,183397.0,14502.0,255.0,528.0,2473.0,2381.0,25342.0,1175.0,13447.0,3519.0,3458.0,145.0,1607.0,1454.0,6700.0,2469.0,17695.0,3798.0,5443.0,6981.0,53058.0,1992.0,9736.0,19307.0,5260.0,29.0,592.0,8806.0,1546.0,27
Mississippi,2629581.0,62571.0,5550.0,24.0,343.0,1033.0,266.0,3116.0,321.0,600.0,204.0,107.0,26.0,201.0,988.0,1143.0,667.0,3749.0,754.0,1392.0,143.0,4.0,278.0,205.0,5313.0,2299.0,0.0,77.0,2407.0,51.0,28
Missouri,5209395.0,147188.0,14701.0,283.0,736.0,4951.0,2031.0,22976.0,1767.0,7598.0,2051.0,12130.0,149.0,2693.0,1704.0,4045.0,2801.0,16056.0,2995.0,7815.0,941.0,792.0,1640.0,747.0,12194.0,5985.0,136.0,928.0,7367.0,848.0,29
Montana,871548.0,12822.0,2280.0,0.0,0.0,594.0,257.0,8682.0,158.0,752.0,325.0,87.0,11.0,12.0,18.0,58.0,47.0,796.0,622.0,550.0,0.0,279.0,146.0,0.0,340.0,713.0,233.0,111.0,470.0,143.0,30
Nebraska,1507705.0,107428.0,4504.0,21.0,201.0,1050.0,630.0,6532.0,324.0,1186.0,1123.0,699.0,20.0,368.0,273.0,1320.0,359.0,4131.0,1265.0,897.0,144.0,0.0,510.0,568.0,6596.0,1690.0,41.0,77.0,3532.0,113.0,31
Nevada,1755755.0,480267.0,7460.0,286.0,341.0,5777.0,2135.0,8860.0,2053.0,3659.0,2610.0,3709.0,2534.0,4361.0,806.0,1794.0,1005.0,24657.0,6178.0,9560.0,1030.0,82.0,4874.0,1557.0,7013.0,62759.0,891.0,1667.0,4820.0,1896.0,32
New Hampshire,1141853.0,26623.0,26641.0,10.0,444.0,2084.0,4224.0,3388.0,2756.0,1557.0,1517.0,1619.0,209.0,217.0,1028.0,2103.0,264.0,5014.0,609.0,1163.0,627.0,0.0,457.0,357.0,1969.0,1069.0,13.0,181.0,1596.0,440.0,33
New Jersey,5830812.0,1191818.0,37276.0,6915.0,41172.0,85220.0,85058.0,29812.0,21265.0,44927.0,64695.0,10095.0,5547.0,7437.0,68662.0,58002.0,25859.0,106299.0,11819.0,73535.0,666.0,18.0,2516.0,442.0,18281.0,79096.0,0.0,6975.0,48673.0,17050.0,34
New Mexico,1197144.0,532568.0,4253.0,132.0,38.0,1430.0,722.0,7167.0,645.0,983.0,794.0,307.0,74.0,942.0,266.0,617.0,217.0,4585.0,1747.0,1275.0,37.0,73.0,597.0,815.0,3737.0,2034.0,64194.0,384.0,1640.0,557.0,35
New York,12788323.0,2613816.0,137557.0,121860.0,137936.0,212832.0,45102.0,69731.0,74378.0,217906.0,96801.0,33002.0,6676.0,25548.0,20732.0,57722.0,65328.0,483722.0,35850.0,111921.0,4408.0,192.0,7342.0,3256.0,22873.0,75090.0,100.0,13122.0,74300.0,69654.0,36
North Carolina,7750904.0,601101.0,27036.0,176.0,2728.0,7493.0,5780.0,23401.0,5762.0,9371.0,2885.0,3083.0,276.0,3852.0,9060.0,10819.0,6050.0,25412.0,6765.0,14604.0,4402.0,9191.0,2911.0,4334.0,19945.0,11941.0,217.0,979.0,15061.0,1839.0,37
North Dakota,584946.0,8183.0,1068.0,9.0,25.0,134.0,79.0,9798.0,45.0,540.0,338.0,1110.0,0.0,33.0,52.0,142.0,166.0,1169.0,587.0,217.0,116.0,0.0,46.0,61.0,521.0,428.0,71.0,77.0,506.0,39.0,38
Ohio,10104160.0,236444.0,28917.0,956.0,2436.0,19268.0,3148.0,57217.0,11751.0,15706.0,10986.0,13358.0,477.0,2917.0,7002.0,14096.0,4912.0,34226.0,9044.0,10345.0,4359.0,547.0,2780.0,2460.0,11218.0,10470.0,70.0,8496.0,26762.0,2869.0,39
Oklahoma,3117161.0,200871.0,5042.0,73.0,215.0,1200.0,953.0,10677.0,551.0,2079.0,361.0,175.0,71.0,1972.0,1162.0,1877.0,1538.0,7587.0,1750.0,4091.0,246.0,2837.0,1308.0,1609.0,14253.0,3362.0,275.0,219.0,3701.0,491.0,40
Oregon,3021536.0,302701.0,11013.0,109.0,453.0,2993.0,1708.0,17039.0,815.0,21044.0,1324.0,1545.0,367.0,3263.0,853.0,4202.0,504.0,22780.0,10689.0,10578.0,2394.0,1479.0,2388.0,2452.0,23171.0,8063.0,495.0,804.0,5717.0,1144.0,41
Pennsylvania,10710239.0,490488.0,41190.0,1872.0,13435.0,51651.0,12223.0,56724.0,14783.0,33047.0,26191.0,8162.0,1880.0,4133.0,18164.0,19186.0,8580.0,64437.0,6832.0,30381.0,10976.0,425.0,2241.0,2210.0,34082.0,13859.0,27.0,4150.0,24605.0,6238.0,42
Rhode Island,790382.0,103193.0,13623.0,77.0,5692.0,8954.0,33178.0,1887.0,1586.0,1808.0,2467.0,67.0,1609.0,236.0,522.0,722.0,448.0,5877.0,566.0,1687.0,4305.0,881.0,550.0,2617.0,1016.0,2114.0,33.0,166.0,1913.0,445.0,44
